boundary,x_c,y_c,nx,ny,A
left,0.0,0.000125,-1.0,0.0,2.5e-06
left,0.0,0.000375,-1.0,0.0,2.5e-06
left,0.0,0.000625,-1.0,0.0,2.5e-06
left,0.0,0.000875,-1.0,0.0,2.5e-06
left,0.0,0.0011250000000000001,-1.0,0.0,2.5e-06
left,0.0,0.001375,-1.0,0.0,2.5e-06
left,0.0,0.0016250000000000001,-1.0,0.0,2.5e-06
left,0.0,0.001875,-1.0,0.0,2.5e-06
left,0.0,0.002125,-1.0,0.0,2.5e-06
left,0.0,0.002375,-1.0,0.0,2.5e-06
left,0.0,0.002625,-1.0,0.0,2.5e-06
left,0.0,0.002875,-1.0,0.0,2.5e-06
left,0.0,0.003125,-1.0,0.0,2.5e-06
left,0.0,0.003375,-1.0,0.0,2.5e-06
left,0.0,0.003625,-1.0,0.0,2.5e-06
left,0.0,0.003875,-1.0,0.0,2.5e-06
left,0.0,0.004125,-1.0,0.0,2.5e-06
left,0.0,0.004375,-1.0,0.0,2.5e-06
left,0.0,0.004625,-1.0,0.0,2.5e-06
left,0.0,0.004875,-1.0,0.0,2.5e-06
left,0.0,0.005125,-1.0,0.0,2.5e-06
left,0.0,0.0053750000000000004,-1.0,0.0,2.5e-06
left,0.0,0.005625,-1.0,0.0,2.5e-06
left,0.0,0.005875,-1.0,0.0,2.5e-06
left,0.0,0.006125,-1.0,0.0,2.5e-06
left,0.0,0.0063750000000000005,-1.0,0.0,2.5e-06
left,0.0,0.006625,-1.0,0.0,2.5e-06
left,0.0,0.006875,-1.0,0.0,2.5e-06
left,0.0,0.007125,-1.0,0.0,2.5e-06
left,0.0,0.0073750000000000005,-1.0,0.0,2.5e-06
left,0.0,0.007625,-1.0,0.0,2.5e-06
left,0.0,0.007875,-1.0,0.0,2.5e-06
left,0.0,0.008125,-1.0,0.0,2.5e-06
left,0.0,0.008375,-1.0,0.0,2.5e-06
left,0.0,0.008625,-1.0,0.0,2.5e-06
left,0.0,0.008875000000000001,-1.0,0.0,2.5e-06
left,0.0,0.009125,-1.0,0.0,2.5e-06
left,0.0,0.009375,-1.0,0.0,2.5e-06
left,0.0,0.009625,-1.0,0.0,2.5e-06
left,0.0,0.009875,-1.0,0.0,2.5e-06
left,0.0,0.010125,-1.0,0.0,2.5e-06
left,0.0,0.010375,-1.0,0.0,2.5e-06
left,0.0,0.010625,-1.0,0.0,2.5e-06
left,0.0,0.010875000000000001,-1.0,0.0,2.5e-06
left,0.0,0.011125,-1.0,0.0,2.5e-06
left,0.0,0.011375,-1.0,0.0,2.5e-06
left,0.0,0.011625,-1.0,0.0,2.5e-06
left,0.0,0.011875,-1.0,0.0,2.5e-06
left,0.0,0.012125,-1.0,0.0,2.5e-06
left,0.0,0.012375,-1.0,0.0,2.5e-06
left,0.0,0.012625,-1.0,0.0,2.5e-06
left,0.0,0.012875000000000001,-1.0,0.0,2.5e-06
left,0.0,0.013125,-1.0,0.0,2.5e-06
left,0.0,0.013375,-1.0,0.0,2.5e-06
left,0.0,0.013625,-1.0,0.0,2.5e-06
left,0.0,0.013875,-1.0,0.0,2.5e-06
left,0.0,0.014125,-1.0,0.0,2.5e-06
left,0.0,0.014375,-1.0,0.0,2.5e-06
left,0.0,0.014625,-1.0,0.0,2.5e-06
left,0.0,0.014875000000000001,-1.0,0.0,2.5e-06
left,0.0,0.015125,-1.0,0.0,2.5e-06
left,0.0,0.015375,-1.0,0.0,2.5e-06
left,0.0,0.015625,-1.0,0.0,2.5e-06
left,0.0,0.015875,-1.0,0.0,2.5e-06
left,0.0,0.016125,-1.0,0.0,2.5e-06
left,0.0,0.016375,-1.0,0.0,2.5e-06
left,0.0,0.016625,-1.0,0.0,2.5e-06
left,0.0,0.016875,-1.0,0.0,2.5e-06
left,0.0,0.017125,-1.0,0.0,2.5e-06
left,0.0,0.017375,-1.0,0.0,2.5e-06
left,0.0,0.017625000000000002,-1.0,0.0,2.5e-06
left,0.0,0.017875000000000002,-1.0,0.0,2.5e-06
left,0.0,0.018125,-1.0,0.0,2.5e-06
left,0.0,0.018375,-1.0,0.0,2.5e-06
left,0.0,0.018625,-1.0,0.0,2.5e-06
left,0.0,0.018875,-1.0,0.0,2.5e-06
left,0.0,0.019125,-1.0,0.0,2.5e-06
left,0.0,0.019375,-1.0,0.0,2.5e-06
left,0.0,0.019625,-1.0,0.0,2.5e-06
left,0.0,0.019875,-1.0,0.0,2.5e-06
left,0.0,0.020125,-1.0,0.0,2.5e-06
left,0.0,0.020375,-1.0,0.0,2.5e-06
left,0.0,0.020625,-1.0,0.0,2.5e-06
left,0.0,0.020875,-1.0,0.0,2.5e-06
left,0.0,0.021125,-1.0,0.0,2.5e-06
left,0.0,0.021375,-1.0,0.0,2.5e-06
left,0.0,0.021625000000000002,-1.0,0.0,2.5e-06
left,0.0,0.021875000000000002,-1.0,0.0,2.5e-06
left,0.0,0.022125,-1.0,0.0,2.5e-06
left,0.0,0.022375,-1.0,0.0,2.5e-06
left,0.0,0.022625,-1.0,0.0,2.5e-06
left,0.0,0.022875,-1.0,0.0,2.5e-06
left,0.0,0.023125,-1.0,0.0,2.5e-06
left,0.0,0.023375,-1.0,0.0,2.5e-06
left,0.0,0.023625,-1.0,0.0,2.5e-06
left,0.0,0.023875,-1.0,0.0,2.5e-06
left,0.0,0.024125,-1.0,0.0,2.5e-06
left,0.0,0.024375,-1.0,0.0,2.5e-06
left,0.0,0.024625,-1.0,0.0,2.5e-06
left,0.0,0.024875,-1.0,0.0,2.5e-06
left,0.0,0.025125,-1.0,0.0,2.5e-06
left,0.0,0.025375,-1.0,0.0,2.5e-06
left,0.0,0.025625000000000002,-1.0,0.0,2.5e-06
left,0.0,0.025875000000000002,-1.0,0.0,2.5e-06
left,0.0,0.026125,-1.0,0.0,2.5e-06
left,0.0,0.026375,-1.0,0.0,2.5e-06
left,0.0,0.026625,-1.0,0.0,2.5e-06
left,0.0,0.026875,-1.0,0.0,2.5e-06
left,0.0,0.027125,-1.0,0.0,2.5e-06
left,0.0,0.027375,-1.0,0.0,2.5e-06
left,0.0,0.027625,-1.0,0.0,2.5e-06
left,0.0,0.027875,-1.0,0.0,2.5e-06
left,0.0,0.028125,-1.0,0.0,2.5e-06
left,0.0,0.028375,-1.0,0.0,2.5e-06
left,0.0,0.028625,-1.0,0.0,2.5e-06
left,0.0,0.028875,-1.0,0.0,2.5e-06
left,0.0,0.029125,-1.0,0.0,2.5e-06
left,0.0,0.029375000000000002,-1.0,0.0,2.5e-06
left,0.0,0.029625000000000002,-1.0,0.0,2.5e-06
left,0.0,0.029875000000000002,-1.0,0.0,2.5e-06
left,0.0,0.030125,-1.0,0.0,2.5e-06
left,0.0,0.030375,-1.0,0.0,2.5e-06
left,0.0,0.030625,-1.0,0.0,2.5e-06
left,0.0,0.030875,-1.0,0.0,2.5e-06
left,0.0,0.031125,-1.0,0.0,2.5e-06
left,0.0,0.031375,-1.0,0.0,2.5e-06
left,0.0,0.031625,-1.0,0.0,2.5e-06
left,0.0,0.031875,-1.0,0.0,2.5e-06
left,0.0,0.032125,-1.0,0.0,2.5e-06
left,0.0,0.032375,-1.0,0.0,2.5e-06
left,0.0,0.032625,-1.0,0.0,2.5e-06
left,0.0,0.032875,-1.0,0.0,2.5e-06
left,0.0,0.033125,-1.0,0.0,2.5e-06
left,0.0,0.033375,-1.0,0.0,2.5e-06
left,0.0,0.033625,-1.0,0.0,2.5e-06
left,0.0,0.033875,-1.0,0.0,2.5e-06
left,0.0,0.034125,-1.0,0.0,2.5e-06
left,0.0,0.034375,-1.0,0.0,2.5e-06
left,0.0,0.034625,-1.0,0.0,2.5e-06
left,0.0,0.034875,-1.0,0.0,2.5e-06
left,0.0,0.035125,-1.0,0.0,2.5e-06
left,0.0,0.035375000000000004,-1.0,0.0,2.5e-06
left,0.0,0.035625000000000004,-1.0,0.0,2.5e-06
left,0.0,0.035875000000000004,-1.0,0.0,2.5e-06
left,0.0,0.036125,-1.0,0.0,2.5e-06
left,0.0,0.036375,-1.0,0.0,2.5e-06
left,0.0,0.036625,-1.0,0.0,2.5e-06
left,0.0,0.036875,-1.0,0.0,2.5e-06
left,0.0,0.037125,-1.0,0.0,2.5e-06
left,0.0,0.037375,-1.0,0.0,2.5e-06
left,0.0,0.037625,-1.0,0.0,2.5e-06
left,0.0,0.037875,-1.0,0.0,2.5e-06
left,0.0,0.038125,-1.0,0.0,2.5e-06
left,0.0,0.038375,-1.0,0.0,2.5e-06
left,0.0,0.038625,-1.0,0.0,2.5e-06
left,0.0,0.038875,-1.0,0.0,2.5e-06
left,0.0,0.039125,-1.0,0.0,2.5e-06
left,0.0,0.039375,-1.0,0.0,2.5e-06
left,0.0,0.039625,-1.0,0.0,2.5e-06
left,0.0,0.039875,-1.0,0.0,2.5e-06
left,0.0,0.040125,-1.0,0.0,2.5e-06
left,0.0,0.040375,-1.0,0.0,2.5e-06
left,0.0,0.040625,-1.0,0.0,2.5e-06
left,0.0,0.040875,-1.0,0.0,2.5e-06
left,0.0,0.041125,-1.0,0.0,2.5e-06
left,0.0,0.041375,-1.0,0.0,2.5e-06
left,0.0,0.041625,-1.0,0.0,2.5e-06
left,0.0,0.041875,-1.0,0.0,2.5e-06
left,0.0,0.042125,-1.0,0.0,2.5e-06
left,0.0,0.042375,-1.0,0.0,2.5e-06
left,0.0,0.042625,-1.0,0.0,2.5e-06
left,0.0,0.042875,-1.0,0.0,2.5e-06
left,0.0,0.043125000000000004,-1.0,0.0,2.5e-06
left,0.0,0.043375000000000004,-1.0,0.0,2.5e-06
left,0.0,0.043625000000000004,-1.0,0.0,2.5e-06
left,0.0,0.043875000000000004,-1.0,0.0,2.5e-06
left,0.0,0.044125,-1.0,0.0,2.5e-06
left,0.0,0.044375,-1.0,0.0,2.5e-06
left,0.0,0.044625,-1.0,0.0,2.5e-06
left,0.0,0.044875,-1.0,0.0,2.5e-06
left,0.0,0.045125,-1.0,0.0,2.5e-06
left,0.0,0.045375,-1.0,0.0,2.5e-06
left,0.0,0.045625,-1.0,0.0,2.5e-06
left,0.0,0.045875,-1.0,0.0,2.5e-06
left,0.0,0.046125,-1.0,0.0,2.5e-06
left,0.0,0.046375,-1.0,0.0,2.5e-06
left,0.0,0.046625,-1.0,0.0,2.5e-06
